,CURRENT,PREVIOUS,PREVIOUS_SPEAKER,PREVIOUS_DISTANCE,PREVIOUS_DISTANCE_LOG,PREVIOUS_BETA_MAN,PREVIOUS_BETA_WERDEN,QUASI_PERSISTENCE,HUMAN_ID,INTERACTION_ID,TURN_LENGTH,CONFEDERATE,CORPUS
54782,werden,man,S,6,1.791759469228055,False,True,False,20171129C,76_VACC,46,True,VACC
54791,werden,werden,S,9,2.1972245773362196,False,True,False,20171129C,76_VACC,7,True,VACC
56492,werden,werden,J,11,2.3978952727983707,False,False,False,20171129D,80_VACC,6,True,VACC
57185,werden,man,J,398,5.986452005284438,False,True,False,20171129D,80_VACC,35,True,VACC
57232,werden,werden,A,15,2.70805020110221,False,False,True,20171129D,80_VACC,8,True,VACC
57285,werden,werden,S,53,3.970291913552122,False,False,True,20171129D,80_VACC,8,True,VACC
57327,werden,werden,S,42,3.737669618283368,False,False,False,20171129D,80_VACC,8,True,VACC
59510,werden,werden,S,9,2.1972245773362196,False,True,False,20171130A,84_VACC,6,True,VACC
59807,man,man,J,82,4.406719247264253,False,False,False,20171130A,84_VACC,8,True,VACC
60223,werden,werden,A,16,2.772588722239781,False,False,True,20171130A,84_VACC,9,True,VACC
60369,man,man,J,34,3.5263605246161616,False,True,False,20171130A,84_VACC,18,True,VACC
63194,man,man,J,95,4.553876891600541,False,False,False,20171130B,88_VACC,6,True,VACC
63391,werden,werden,J,79,4.3694478524670215,False,False,False,20171130B,88_VACC,6,True,VACC
63510,man,werden,S,119,4.77912349311153,False,False,False,20171130B,88_VACC,39,True,VACC
63524,man,man,S,14,2.6390573296152584,False,True,False,20171130B,88_VACC,39,True,VACC
64151,man,man,J,380,5.940171252720432,False,False,True,20171130B,88_VACC,5,True,VACC
64408,man,man,S,257,5.54907608489522,True,False,False,20171130B,88_VACC,35,True,VACC
64458,werden,man,S,50,3.912023005428146,False,False,False,20171130B,88_VACC,18,True,VACC
64520,man,werden,S,62,4.127134385045092,False,False,False,20171130B,88_VACC,15,True,VACC
64562,werden,man,S,42,3.737669618283368,False,False,False,20171130B,88_VACC,44,True,VACC
